No.,book_name,author,publishing-house,date,price,score,url,comment
15,天龙八部,金庸,生活·读书·新知三联书店,1994,96.0,9.2,https://book.douban.com/subject/1255625/,一首先得说的是，所谓佳人，乃是一个活物。汉朝皇帝不解风情，以为看个画图便能辨出佳人，才使毛延寿等辈有机可乘，放出昭君便宜了单于。如今敷妆鲜活霓裳羽衣外加PS打光的美少女们，论样貌怕比祖贤青霞等的旧照好看得多。然而回头一看《青蛇》，一看《笑傲》，那两位熟女只一...
16,呐喊,鲁迅,人民文学出版社,1973,0.36,9.2,https://book.douban.com/subject/1449351/,鲁迅文章被挪出课本这个话题，套用时下的话说已经“out”了。风风火火的讨论，也就死撑了几天，然后，就被互联网上数以亿计的信息淹没了，连头都没有再浮出水面一下，就沉到底了。我为了这条不知道谁发出的新闻，从柜子里重新翻出《呐喊》，就坐在地上，看到天色变暗，雷...
17,撒哈拉的故事,三毛,哈尔滨出版社,2003,15.8,9.2,https://book.douban.com/subject/1060068/,我想从头到尾系统地看三毛的书，所以找了三毛作品的出版顺序，供想读三毛的人参考：1．《撒哈拉的故事》1976年5月初版2．《雨季不再来》1976年7月初版3．《稻草人手记》1977年6月初版4．《哭泣的骆驼》1977年8月初版5．《温柔的夜》1979年2月初版6．《娃娃...
18,悉达多:一首印度的诗,[德] 赫尔曼·黑塞,天津人民出版社,2017,32.0,9.3,https://book.douban.com/subject/26980487/,（以防万一，再次强调，这个悉达多不是佛陀，只是黑塞小说中的男主角，他所领悟的也不完全是佛教的教义。）1.赫尔曼·黑塞的《悉达多》对我来说，意义非凡。是至今为止我看了最多遍的一本书，市面上能搜集到的译本，我都买了看了，仍然每读每有新收获。我第一次读到这本书的...
19,邓小平时代,【美】傅高义 (Ezra.F.Vogel),生活·读书·新知三联书店,2013,88.0,9.3,https://book.douban.com/subject/20424526/,毫无疑问，畅销书，尽管754页，88人民币一本，还是畅销书。当然，上边说的是国内图书市场，我还不算看英文版、看台版、在kindle上看的，看没有删掉那一章的。这本书的出版，按习惯，多少可算作奇迹。虽然我没做实验，但根据经验主义，很多章节贴到微博上、BBS上，是会被屏...
20,杀死一只知更鸟,[美] 哈珀·李,译林出版社,2012,32.0,9.2,https://book.douban.com/subject/6781808/,这篇书评可能有关键情节透露一直以来我都在琢磨到底什么是教养，是不是穿阿玛尼比穿班尼路有教养？后来我明白，穿阿玛尼确实比穿班尼路更体面，教养却谈不上。那教养究竟是个什么玩意儿？看完《杀死一只反舌鸟》我明白：教养太复杂，但首先应是正义，正义是一种教养。20世纪30年代美国南方，律师带着一双...
21,明朝那些事儿（1-9）:限量版,当年明月,中国海关出版社,2009,358.2,9.2,https://book.douban.com/subject/3674537/,按自己的方式，去度过人生。---读《明朝那些事儿》后记我相信。这些日子以来，呈现在我的眼前最生动的画面不是上下班公交车上拥挤的人群，也不是忙碌不过来的公司事务，以及我原本拥有并且平常、平淡、平凡的生活，而是权力、希望、痛苦、愤怒、犹豫、冷漠、热...
22,失踪的孩子:那不勒斯四部曲4,[意] 埃莱娜·费兰特,人民文学出版社,2018,62.0,9.2,https://book.douban.com/subject/30172069/,文=索马里一个不爱自己母亲的女人是一个迷失的女人。费兰特的《失踪的孩子》（那不勒斯四部曲大结局）中，莱农的小姑子，出生优越的教授马丽娅罗莎对她这么说。这句话意大利原文是Cheunadonnasenzaamoreperlasuamatriceèpersa。编辑到这里的时候，我的眉头不可...
23,新名字的故事:那不勒斯四部曲2,[意] 埃莱娜·费兰特,人民文学出版社,2017,59.0,9.2,https://book.douban.com/subject/26986954/,大概是伏波娃还是谁，说女人最大的不幸在于，她们过早遇见了很难逃避的各种诱惑。作为一个长相普通头脑也普通的人，我一直不是很清楚那种诱惑是什么。固然也似乎遇见了一些类似于钱色交易的玩意，也似乎利用过一些性别优势，但这的确称不上不幸。不幸是什么意思呢？我在一些...
24,野草,鲁迅,人民文学出版社,1973,0.2,9.5,https://book.douban.com/subject/1915958/,无论什么人，只要你在活着的时候应付不了生活，就应该用一只手挡开笼罩着你的命运的绝望……但同时，你可以用另一只手草草记下你在废墟中所看到的一切，因为你和别人看到的不同，而且更多……——卡夫卡·题记（一）1924至1926。中国。军阀...
